franchise_href,franchise_id,franchise_name,description,franchise_category,franchise_type,costs,total_outlets,website_url,phone_number,email_address,year_established,company_name,company_address,net_profits_per_month,license_duration_in_years,royalty_fees_per_month,return_of_investments,logo_image_url,image_url
https://fleibisnis.com/franchisedetails/akiladental,1,Akila Dental,"AKILA DENTAL adalah klinik gigi pilihan terbaik untuk Anda dan keluarga tercinta yang melayani berbagai hal terkait kesehatan dan kecantikan gigi dari Aesthetic Dentistry, Restorative Dentistry, Preventive Care, Oral Surgery, Teeth Whitening hingga Dental Implant.",Kesehatan & Kecantikan,Waralaba,900000000,3,https://akiladental.co.id/,081918888127,,2015,"Akila Dental Indonesia, PT","Emporium Pluit Mall Lt2#01 Jl. Pluit Selatan Raya, Jakarta 14440, Indonesia",27000000,5,7,30,,
https://fleibisnis.com/franchisedetails/alfamartalfaexpressdanalfax,2,"ALFAMART, ALFAEXPRESS dan ALFAX","PT Sumber Alfaria Trijaya, Tbk merupakan salah satu pengelola jaringan minimarket terbesar di Indonesia dan hingga kini telah mengelola lebih dari 16,000 gerai dan lebih dari 1,000 gerai di Filipina.",Retail & Minimarket,Waralaba,500000000,16,https://alfamart.co.id/,0211500959,sat_franchise_alfamart@sat.co.id,1999,"Sumber Alfaria Trijaya, Tbk","Alfa Tower Lantai 12, Jalan Jalur Sutera Barat Kav. 9, Alam Sutera, Kota Tangerang, Banten, Indonesia",,5,,,,
https://fleibisnis.com/franchisedetails/amorcakesbakery,3,Amorcakes & Bakery,"Amorcakes & Bakery adalah perusahaan yang bergerak dibidang food & bakery yang berdiri sejak tahun 2010 dan sudah membuka 26 bakery dan outlet yang tersebar di wilayah Jakarta, Depok, Bogor, dan Sukabumi Jawa Barat.",Kuliner,Kemitraan,743000000,26,https://www.instagram.com/amorcakesandbakery/,08118702870,amor.group754@gmail.com,2010,"Inovasi Sukses Persada, PT","Jl. Ahmad Yani RT 003/005, Sukabumi, Jawa Barat, Indonesia",,5,1,,,
https://fleibisnis.com/franchisedetails/anakbakmie,4,Anak Bakmie,"Anak Bakmie by Jenda McLover terinspirasi atas modernisasi bakmi abangabang khas Indonesia. Seiring bertambahnya kesibukan orang Indonesia dan era Covid yang membuat masyarakat enggan berkumpul, penjualan online kerap meningkat, dengan hadirnya Anak Bakmie, cita rasa nikmat kearifan lokal bisa menjembatani semua kebutuhan ini.",Kuliner,Waralaba,80000000,9,https://solomonutama.com/,,,2021,"Solomon Utama, PT","Jl. Kaji No.40, RT.10/RW.7, Petojo Utara, Kecamatan Gambir, Jakarta Pusat, Indonesia",20000000,5,,20,,
https://fleibisnis.com/franchisedetails/apotekk24,5,Apotek K24,Apotek K24 merupakan Jaringan Apotek Waralaba Nasional yang buka 24 jam non stop setiap hari dan berkomitmen untuk menyediakan kebutuhan obatobatan yang komplit dengan harga yang wajar.,Kesehatan & Kecantikan,Waralaba,1100000000,576,https://www.k24klik.com/,081212012424,franchise@k24.co.id,2002,"K24 Indonesia, PT","Jl. Magelang, Karangwaru Kidul Pr 24, Yogyakarta 55241, Indonesia",,6,2,,,
https://fleibisnis.com/franchisedetails/astons,6,ASTONS,"ASTONS adalah restoran steak khas amerika klasik dengan menyajikan menu dengan kualitas tinggi oleh Aston Soon asal Singapura yang jeli meilihat prospek bisnis makanan steak barat. Hingga kini ASTONS sudah terdapat di berbagai negara seperti Singapura, Malaysia, Myanmar dan Filipina.",Kuliner,Waralaba,21000000000,3,https://www.astons.com.sg/,,,2005,Aston Kuliner Specialities PTE LTD,Singapore,,10,,,,
https://fleibisnis.com/franchisedetails/astoriaoriginalchileansandwiches,7,Astoria Original Chilean Sandwiches,Astoria merupakan waralaba asal negara Chile yang berfokus pada makanan siap saji yaitu sandwich dengan keunikan pelanggan langsung dapat menikmati kelezatan Sandwich Astoria hanya dalam waktu 7 menit mulai saat makanan dipesan.,Kuliner,Waralaba,1400000000,25,https://www.instagram.com/astoriachile/,,,2009,Mundo Astoria Inventions,Chile,,10,,,,
https://fleibisnis.com/franchisedetails/ayambebekangsa,8,Ayam Bebek Angsa Masak di Kuali,"Ayam Bebek Angsa (ABA) Masak di Kuali adalah usaha yang dibentuk sebagai solusi untuk mengatasi masalah perekonomian dan membantu masyakat luas yang ingin memiliki usaha dengan modal terjangkau, sistem kerjasama yang mudah serta metode menjalankan yang sangat simpel..",Kuliner,Waralaba,79000000,4,https://www.instagram.com/ayambebekangsa.masakdikuali/,081382317668,ayambebekangsa.official@gmail.com,2017,Makko Group,"Jl. Telesonik Komplek Pergudangan Surya No. 10 Tangerang, Banten 15136, Indonesia",38000000,,,48,,
https://fleibisnis.com/franchisedetails/ayamgeprekjuara,9,Ayam Geprek Juara,"Ayam Geprek Juara didirikan pada tanggal 20 Mei 2017 bertepatan pada hari kebangkitan nasional. Dalam mewujudkan visi misinya, Ayam Geprek JUARA mengusung tema one city one JUARA yang ditopang oleh semangat : Kolaborasi. Pemberdayaan, dan Nasionalisme.",Kuliner,Kemitraan,200000000,91,https://www.ayamgeprekjuara.com/,08121055458,,2017,"Ayam Geprek Juara, PT","Rukan Sentra Pemuda Kav.28, Jl. Pemuda Rawamangun, Pulogadung, Jakarta Timur, Indonesia",12350000,4,,3,,
https://fleibisnis.com/franchisedetails/ayamgeprekmaster,10,Ayam Geprek Master,"Ayam Geprek Master merupakan salah satu pilihan bisnis kuliner yang sedang tren, menghadirkan kenikmatan serta kelezatan dengan menu utama ayam geprek.",Kuliner,Kemitraan,195000000,5,https://www.instagram.com/ayamgeprekmaster/,081283350594,geprekmaster@gmail.com,2017,"Mastero Sukses Mandiri, PT","Jalan Kebun Jeruk XIII No. 16 Jakarta Barat, Indonesia",15000000,3,5,1,,
