,franchise_href,franchise_name,description,franchise_category,franchise_type,costs,phone_number,email_address,year_established,company_name,company_address,country,currency,license_duration_in_years,net_profits_per_month,return_of_investments,royalty_fees_per_month,labels,,19,Education,Transportation,Automotive,Cleaning Services,Tour & Travel,Food & Beverage,Jasa Logistics,Hobby & Entertainment,Logistics,Beauty & Healthy,Teknologi,Cleaninf Servces,Retail & Minimarket,Advertising,Fashion,Finance,Food & Beverage Shop,Health & Beauty,Technology
0,https://fleibisnis.com/franchisedetails/akiladental,Akila Dental,"AKILA DENTAL adalah klinik gigi pilihan terbaik untuk Anda dan keluarga tercinta yang melayani berbagai hal terkait kesehatan dan kecantikan gigi dari Aesthetic Dentistry, Restorative Dentistry, Preventive Care, Oral Surgery, Teeth Whitening hingga Dental Implant.",Health & Beauty,Waralaba,900000000.0,,,2015.0,"Akila Dental Indonesia, PT","Emporium Pluit Mall Lt2#01 Jl. Pluit Selatan Raya, Jakarta 14440, Indonesia",Indonesia,IDR,5.0,27000000.0,30,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,https://fleibisnis.com/franchisedetails/alfamartalfaexpressdanalfax,"ALFAMART, ALFAEXPRESS dan ALFAX","PT Sumber Alfaria Trijaya, Tbk merupakan salah satu pengelola jaringan minimarket terbesar di Indonesia dan hingga kini telah mengelola lebih dari 16,000 gerai dan lebih dari 1,000 gerai di Filipina.",Retail & Minimarket,Waralaba,500000000.0,,,1999.0,"Sumber Alfaria Trijaya, Tbk","Alfa Tower Lantai 12, Jalan Jalur Sutera Barat Kav. 9, Alam Sutera, Kota Tangerang, Banten, Indonesia",Indonesia,IDR,5.0,,,,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,https://fleibisnis.com/franchisedetails/amorcakesbakery,Amorcakes & Bakery,"Amorcakes & Bakery adalah perusahaan yang bergerak dibidang food & bakery yang berdiri sejak tahun 2010 dan sudah membuka 26 bakery dan outlet yang tersebar di wilayah Jakarta, Depok, Bogor, dan Sukabumi Jawa Barat.",Food & Beverage,Kemitraan,743000000.0,,,2010.0,"Inovasi Sukses Persada, PT","Jl. Ahmad Yani RT 003/005, Sukabumi, Jawa Barat, Indonesia",Indonesia,,5.0,,,1,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,https://fleibisnis.com/franchisedetails/anakbakmie,Anak Bakmie,"Anak Bakmie by Jenda McLover terinspirasi atas modernisasi bakmi abangabang khas Indonesia. Seiring bertambahnya kesibukan orang Indonesia dan era Covid yang membuat masyarakat enggan berkumpul, penjualan online kerap meningkat, dengan hadirnya Anak Bakmie, cita rasa nikmat kearifan lokal bisa menjembatani semua kebutuhan ini.",Food & Beverage,Waralaba,80000000.0,,,2021.0,"Solomon Utama, PT","Jl. Kaji No.40, RT.10/RW.7, Petojo Utara, Kecamatan Gambir, Jakarta Pusat, Indonesia",Indonesia,IDR,5.0,20000000.0,20,,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,https://fleibisnis.com/franchisedetails/apotekk24,Apotek K24,Apotek K24 merupakan Jaringan Apotek Waralaba Nasional yang buka 24 jam non stop setiap hari dan berkomitmen untuk menyediakan kebutuhan obatobatan yang komplit dengan harga yang wajar.,Health & Beauty,Waralaba,1100000000.0,,,2002.0,"K24 Indonesia, PT","Jl. Magelang, Karangwaru Kidul Pr 24, Yogyakarta 55241, Indonesia",Indonesia,IDR,6.0,,,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,https://fleibisnis.com/franchisedetails/astons,ASTONS,"ASTONS adalah restoran steak khas amerika klasik dengan menyajikan menu dengan kualitas tinggi oleh Aston Soon asal Singapura yang jeli meilihat prospek bisnis makanan steak barat. Hingga kini ASTONS sudah terdapat di berbagai negara seperti Singapura, Malaysia, Myanmar dan Filipina.",Food & Beverage,Waralaba,1500000.0,,,2005.0,Aston Food & Beverage Specialities PTE LTD,Singapore,Singapura,,10.0,,,,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,https://fleibisnis.com/franchisedetails/astoriaoriginalchileansandwiches,Astoria Original Chilean Sandwiches,Astoria merupakan waralaba asal negara Chile yang berfokus pada makanan siap saji yaitu sandwich dengan keunikan pelanggan langsung dapat menikmati kelezatan Sandwich Astoria hanya dalam waktu 7 menit mulai saat makanan dipesan.,Food & Beverage,Waralaba,100000.0,,,2009.0,Mundo Astoria Inventions,Chile,Chile,USD,10.0,,,,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,https://fleibisnis.com/franchisedetails/ayambebekangsa,Ayam Bebek Angsa Masak di Kuali,"Ayam Bebek Angsa (ABA) Masak di Kuali adalah usaha yang dibentuk sebagai solusi untuk mengatasi masalah perekonomian dan membantu masyakat luas yang ingin memiliki usaha dengan modal terjangkau, sistem kerjasama yang mudah serta metode menjalankan yang sangat simpel..",Food & Beverage,Waralaba,79000000.0,,,2017.0,Makko Group,"Jl. Telesonik Komplek Pergudangan Surya No. 10 Tangerang, Banten 15136, Indonesia",Indonesia,IDR,,38000000.0,48,,47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,https://fleibisnis.com/franchisedetails/ayamgeprekjuara,Ayam Geprek Juara,"Ayam Geprek Juara didirikan pada tanggal 20 Mei 2017 bertepatan pada hari kebangkitan nasional. Dalam mewujudkan visi misinya, Ayam Geprek JUARA mengusung tema one city one JUARA yang ditopang oleh semangat : Kolaborasi. Pemberdayaan, dan Nasionalisme.",Food & Beverage,Kemitraan,200000000.0,,,2017.0,"Ayam Geprek Juara, PT","Rukan Sentra Pemuda Kav.28, Jl. Pemuda Rawamangun, Pulogadung, Jakarta Timur, Indonesia",Indonesia,IDR,4.0,12350000.0,3,30000000,52,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,https://fleibisnis.com/franchisedetails/ayamgeprekmaster,Ayam Geprek Master,"Ayam Geprek Master merupakan salah satu pilihan bisnis kuliner yang sedang tren, menghadirkan kenikmatan serta kelezatan dengan menu utama ayam geprek.",Food & Beverage,Kemitraan,195000000.0,,,2017.0,"Mastero Sukses Mandiri, PT","Jalan Kebun Jeruk XIII No. 16 Jakarta Barat, Indonesia",Indonesia,IDR,3.0,15000000.0,1,5,54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
